Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
146,145,120,"» Merrylees, Chris (GBR)",,,616,18-39,01:17:42,02:38:13,,2014
147,146,19,"» Cheetham, Paul (GBR)",,,791,40-44,01:17:48,02:38:19,,2014
2166,146,100,"» Liebnitz, Sarah (GBR)",,,485,18-39,01:29:16,03:08:47,,2014
148,147,121,"» Belfield, Peter (GBR)",,,32191,18-39,01:17:16,02:38:19,,2014
2181,147,101,"» Wykes, Isobel (GBR)",,,282,18-39,01:30:16,03:08:55,,2014
2182,148,102,"» Gibson, Melissah (AUS)",,,32130,18-39,01:32:03,03:08:55,,2014
149,148,20,"» Ramsay, Grant (GBR)",,,889,40-44,01:16:03,02:38:21,,2014
150,149,122,"» Evans, Dave (GBR)",,,32302,18-39,01:16:11,02:38:24,,2014
2191,149,103,"» Shackleton, Zoe (GBR)",,,31510,18-39,01:30:20,03:09:00,,2014
151,150,123,"» Lawrence, Andrew (GBR)",,,1082,18-39,01:15:34,02:38:25,,2014
2192,150,104,"» Woolf, Chloe (GBR)",,,29101,18-39,01:30:06,03:09:00,,2014
152,151,124,"» Jordan, Chris (GBR)",,,897,18-39,01:16:01,02:38:26,,2014
2215,151,30,"» KOTAR ILIJAS, JANA (SLO)",,,58555,40-44,01:33:57,03:09:13,,2014
153,152,21,"» Addison, Jim (GBR)",,,845,40-44,01:17:41,02:38:29,,2014
2219,152,105,"» Tolmachova, Anna (UKR)",,,30181,18-39,01:32:48,03:09:15,,2014
154,153,125,"» Horton, Steven (GBR)",,,31305,18-39,01:19:50,02:38:30,,2014
2231,153,15,"» Russell, Fiona (GBR)",,,416,45-49,01:31:55,03:09:22,,2014
155,154,22,"» Cockerell, Will (GBR)",,,781,40-44,01:17:31,02:38:30,,2014
2248,154,106,"» Cone, Joanne (GBR)",,,24748,18-39,01:34:15,03:09:32,,2014
156,155,126,"» Bell, Wayne Peter (GBR)",,,618,18-39,01:16:13,02:38:32,,2014
2251,155,107,"» Newstead, Rachel (GBR)",,,28200,18-39,01:31:55,03:09:33,,2014
157,156,127,"» Brooks, Alex (GBR)",,,837,18-39,01:15:44,02:38:35,,2014
2253,156,31,"» Kristiansen, Lara (GBR)",,,28854,40-44,01:33:03,03:09:34,,2014
2258,157,16,"» Malir, Sally Sarah (GBR)",,,324,45-49,01:33:12,03:09:36,,2014
158,157,128,"» Pearch, Sam (GBR)",,,1075,18-39,01:17:55,02:38:36,,2014
159,158,3,"» Downs, Rob (GBR)",,,803,50-54,01:16:25,02:38:36,,2014
2261,158,108,"» Greenwood, Russell William (GBR)",,,4860,18-39,01:33:59,03:09:39,,2014
2271,159,109,"» Chalmers, Ruth (GBR)",,,368,18-39,01:32:10,03:09:45,,2014
160,159,129,"» Hoare, Martin (IRL)",,,32423,18-39,01:19:41,02:38:42,,2014
161,160,130,"» Horton, Alex (GBR)",,,1123,18-39,01:17:41,02:38:44,,2014
2274,160,110,"» Richardson, Patricia (GBR)",,,29256,18-39,01:32:35,03:09:47,,2014
162,161,23,"» Jones, Brad (GBR)",,,623,40-44,01:19:01,02:38:50,,2014
2275,161,111,"» Lewis, Sarah (GBR)",,,28779,18-39,01:35:52,03:09:47,,2014
2278,162,17,"» Enhard, Susanne (GBR)",,,181,45-49,01:32:10,03:09:50,,2014
163,162,131,"» Hatcher, Julian (GBR)",,,622,18-39,01:15:46,02:38:54,,2014
164,163,24,"» Thomas, Justin (GBR)",,,1098,40-44,01:17:11,02:38:57,,2014
2279,163,112,"» Wilson, Katherine (GBR)",,,27921,18-39,01:30:20,03:09:51,,2014
165,164,132,"» French, George (GBR)",,,1195,18-39,01:18:11,02:38:58,,2014
2288,164,113,"» Turrell, Helen (GBR)",,,32167,18-39,01:33:55,03:09:56,,2014
2305,165,18,"» Keavney, Jacqueline (GBR)",,,230,45-49,01:30:44,03:10:04,,2014
166,165,133,"» Pyatt, Matt (GBR)",,,778,18-39,01:18:39,02:39:01,,2014
2314,166,32,"» Bailey, Tina (GBR)",,,193,40-44,01:32:27,03:10:07,,2014
167,166,134,"» Carse, Bruce (GBR)",,,782,18-39,01:18:38,02:39:02,,2014
168,167,6,"» Bulloch, Wayne (AUS)",,,829,45-49,01:19:31,02:39:03,,2014
2317,167,19,"» Murdoch, Gail (GBR)",,,420,45-49,01:31:42,03:10:08,,2014
2323,168,33,"» Hesketh, Jo (GBR)",,,514,40-44,01:32:47,03:10:14,,2014
169,168,135,"» Smeby, Kenneth (NOR)",,,55920,18-39,01:13:52,02:39:04,,2014
2326,169,114,"» Brown, Emma (GBR)",,,208,18-39,01:31:37,03:10:15,,2014
170,169,136,"» Rowlinson, Callum (GBR)",,,741,18-39,,02:39:08,,2014
171,170,137,"» Clark, Joseph (GBR)",,,1189,18-39,01:17:43,02:39:09,,2014
2331,170,115,"» Mackenzie, Keri (GBR)",,,428,18-39,01:31:47,03:10:16,,2014
172,171,25,"» Holmes, Sean (GBR)",,,1065,40-44,01:15:30,02:39:13,,2014
2333,171,116,"» Somerton, Claire (GBR)",,,195,18-39,01:29:43,03:10:17,,2014
173,172,138,"» Evans, Mike (GBR)",,,1009,18-39,01:17:57,02:39:13,,2014
2336,172,34,"» Powell, Debbie (GBR)",,,338,40-44,01:32:25,03:10:20,,2014
174,173,139,"» Hatswell, Anthony (GBR)",,,31129,18-39,01:18:29,02:39:15,,2014
2351,173,35,"» RUSSO, PATRIZIA (FRA)",,,57201,40-44,01:35:46,03:10:28,,2014
2355,174,36,"» Baxter, Marie (GBR)",,,28454,40-44,01:34:15,03:10:31,,2014
175,174,7,"» Lound, Charles (GBR)",,,1099,45-49,01:19:27,02:39:19,,2014
2361,175,37,"» Aertebjerg, Sysser (DEN)",,,475,40-44,01:32:27,03:10:32,,2014
176,175,140,"» Williams, Craig (GBR)",,,979,18-39,01:17:37,02:39:21,,2014
2362,176,4,"» Mair, Angharad (GBR)",,,27070,50-54,01:32:23,03:10:33,,2014
177,176,4,"» Murtagh, Stephen (GBR)",,,766,50-54,01:18:49,02:39:22,,2014
178,177,141,"» Dashper, Wayne (GBR)",,,799,18-39,01:16:35,02:39:24,,2014
2375,177,117,"» Heyns, Frani (RSA)",,,29008,18-39,01:37:10,03:10:40,,2014
179,178,142,"» Jolly, Luc (GBR)",,,1917,18-39,01:19:08,02:39:26,,2014
2385,178,118,"» Robinson, Jenny (GBR)",,,275,18-39,01:29:53,03:10:43,,2014
2389,179,119,"» Grant, Sophie (GBR)",,,352,18-39,01:30:22,03:10:45,,2014
180,179,8,"» Jackson, Anthony (GBR)",,,711,45-49,01:17:31,02:39:27,,2014
2397,180,120,"» Combe, Joanne (GBR)",,,526,18-39,01:34:41,03:10:48,,2014
181,180,5,"» Mason, Adrian Kevin (GBR)",,,608,50-54,01:17:42,02:39:28,,2014
2398,181,121,"» Siruffo, Cecilia (ESP)",,,478,18-39,01:32:45,03:10:48,,2014
182,181,143,"» Tuer, Robert (GBR)",,,31401,18-39,01:18:11,02:39:29,,2014
183,182,26,"» Halford, Paul (GBR)",,,822,40-44,01:19:50,02:39:30,,2014
2409,182,122,"» Morris, Pamela (GBR)",,,366,18-39,01:31:15,03:10:54,,2014
2420,183,123,"» Martin, Nina (GBR)",,,29652,18-39,01:36:43,03:10:59,,2014
184,183,144,"» Reed, Stuart (GBR)",,,702,18-39,01:16:23,02:39:31,,2014
2439,184,124,"» Frith, Vikki (GBR)",,,484,18-39,01:29:58,03:11:08,,2014
185,184,145,"» Pennington, Charles (GBR)",,,1061,18-39,01:20:50,02:39:31,,2014
2459,185,125,"» Evans, Mel (GBR)",,,339,18-39,01:27:43,03:11:22,,2014
186,185,146,"» Mier Alonso, Javier (ESP)",,,55763,18-39,01:18:04,02:39:34,,2014
2463,186,38,"» Maguire, Sarah (GBR)",,,28729,40-44,01:33:27,03:11:24,,2014
187,186,147,"» Oddy, Christopher Philip (GBR)",,,30926,18-39,01:17:42,02:39:36,,2014
2476,187,126,"» Manning, Hayley (GBR)",,,28453,18-39,01:30:41,03:11:35,,2014
188,187,148,"» Manning, Julian (GBR)",,,795,18-39,01:16:37,02:39:39,,2014
2483,188,127,"» Macdonald, Lorna (GBR)",,,30067,18-39,01:34:34,03:11:37,,2014
189,188,149,"» Selya-Hammer, Carl (GBR)",,,1165,18-39,01:17:11,02:39:40,,2014
2487,189,128,"» Doak, Karen (GBR)",,,259,18-39,01:32:40,03:11:42,,2014
190,189,27,"» Wartnaby, Charles (GBR)",,,637,40-44,01:19:38,02:39:43,,2014
2508,190,129,"» Omand, Elaine (GBR)",,,386,18-39,01:29:35,03:11:51,,2014
192,190,150,"» Parkinson, Fintan (GBR)",,,1074,18-39,01:19:31,02:39:44,,2014
2513,191,130,"» Kimble, Grace (GBR)",,,218,18-39,01:30:08,03:11:54,,2014
193,191,28,"» Simpson, Andy (GBR)",,,1182,40-44,01:16:55,02:39:45,,2014
194,192,9,"» Freeman, David (GBR)",,,695,45-49,01:18:15,02:39:45,,2014
2519,192,39,"» Horton, Tracey (GBR)",,,322,40-44,01:35:06,03:11:56,,2014
2525,193,131,"» Clegg, Lindsey (GBR)",,,31309,18-39,01:31:12,03:11:58,,2014
195,193,151,"» Thomas, Deri (GBR)",,,725,18-39,01:17:41,02:39:54,,2014
2532,194,132,"» Allison, Lorna Dawn (GBR)",,,29502,18-39,01:37:06,03:12:00,,2014
196,194,152,"» O'Shea, James (GBR)",,,759,18-39,01:18:18,02:39:55,,2014
198,195,29,"» Landon, Guy (GBR)",,,722,40-44,01:20:06,02:40:00,,2014
2539,195,40,"» Zubizarreta, Maria (PAR)",,,271,40-44,01:35:32,03:12:03,,2014
2545,196,133,"» Finney, Jasmine (GBR)",,,23429,18-39,01:37:04,03:12:06,,2014
199,196,30,"» Hope, Richard (GBR)",,,1142,40-44,01:18:39,02:40:07,,2014
2547,197,41,"» Ryder, Sarah (GBR)",,,31027,40-44,01:33:28,03:12:08,,2014
200,197,153,"» Schramm, CEDRIC (FRA)",,,632,18-39,01:15:27,02:40:10,,2014
201,198,154,"» Farmer, Stuart (GBR)",,,665,18-39,01:19:32,02:40:20,,2014
2550,198,134,"» Lee, Ava (GBR)",,,243,18-39,01:31:57,03:12:09,,2014
2552,199,135,"» Holmes, Emma (GBR)",,,29654,18-39,01:31:26,03:12:10,,2014
202,199,31,"» MacIntosh, Keith (GBR)",,,31485,40-44,01:20:26,02:40:22,,2014
203,200,155,"» Kimber, Stephen (GBR)",,,706,18-39,01:16:43,02:40:23,,2014
2558,200,20,"» Murphy, Karen (GBR)",,,315,45-49,01:29:09,03:12:13,,2014
204,201,156,"» Bradley, Scott (GBR)",,,690,18-39,01:19:01,02:40:32,,2014
2568,201,136,"» Spencer, Joanne (GBR)",,,318,18-39,01:33:57,03:12:19,,2014
2579,202,137,"» Neill, Fiona (GBR)",,,29571,18-39,01:33:47,03:12:23,,2014
205,202,32,"» Sturgess-Durden, Luke (GBR)",,,32742,40-44,01:19:12,02:40:33,,2014
206,203,157,"» Bennett, Matthew (GBR)",,,844,18-39,01:10:43,02:40:34,,2014
2580,203,138,"» Young, Liz (GBR)",,,463,18-39,01:32:21,03:12:24,,2014
2585,204,139,"» Brown, Victoria (GBR)",,,445,18-39,01:34:39,03:12:27,,2014
207,204,158,"» Christie, Ross (GBR)",,,805,18-39,01:14:36,02:40:34,,2014
2591,205,21,"» Bergkvist, Christin (SWE)",,,56793,45-49,01:32:01,03:12:31,,2014
209,205,159,"» Webber, Daniel (GBR)",,,32276,18-39,01:18:27,02:40:37,,2014
2595,206,140,"» Hunter, Victoria (GBR)",,,451,18-39,01:32:36,03:12:34,,2014
210,206,160,"» Kindon, Noel (GBR)",,,1096,18-39,01:14:11,02:40:40,,2014
211,207,161,"» Adcock, Matt (GBR)",,,838,18-39,01:14:36,02:40:42,,2014
2596,207,42,"» Hughes, Katie (GBR)",,,442,40-44,01:30:39,03:12:34,,2014
2608,208,22,"» Bugler, Fiona (GBR)",,,280,45-49,01:33:31,03:12:40,,2014
212,208,162,"» Dudden, Thomas (GBR)",,,668,18-39,01:18:04,02:40:42,,2014
213,209,163,"» Beckett, Michael (GBR)",,,898,18-39,01:19:32,02:40:49,,2014
2621,209,141,"» Hardy, Linda (GBR)",,,503,18-39,01:32:45,03:12:49,,2014
214,210,33,"» Hayes, Matthew (GBR)",,,790,40-44,01:15:26,02:40:53,,2014
2634,210,43,"» Pinto, Maria (POR)",,,52561,40-44,01:36:46,03:12:55,,2014
215,211,164,"» Considine, Andrew (IRL)",,,946,18-39,01:19:48,02:40:53,,2014
2642,211,142,"» Parry, Danielle (GBR)",,,29849,18-39,01:33:32,03:12:58,,2014
216,212,165,"» Millar, Lewis (GBR)",,,989,18-39,01:14:35,02:40:59,,2014
2651,212,23,"» Neesam, Kay (GBR)",,,291,45-49,01:33:47,03:13:03,,2014
217,213,166,"» Macdonald, Ross (GBR)",,,1008,18-39,01:17:22,02:41:01,,2014
2653,213,1,"» Wheelhouse, Caroline (GBR)",,,427,55-59,01:35:07,03:13:04,,2014
218,214,167,"» Doran, Tim (GBR)",,,864,18-39,01:20:07,02:41:06,,2014
2659,214,143,"» Wrapson, Yvette (GBR)",,,456,18-39,01:30:15,03:13:07,,2014
219,215,10,"» Groves, Glen (GBR)",,,809,45-49,01:18:35,02:41:08,,2014
2664,215,44,"» Hales, Laura (GBR)",,,161,40-44,01:33:18,03:13:07,,2014
2666,216,45,"» Rockliffe, Jacqueline (GBR)",,,29515,40-44,01:35:40,03:13:07,,2014
220,216,34,"» Whittington, Russell (GBR)",,,693,40-44,01:18:45,02:41:09,,2014
221,217,168,"» Kestle, Ryan (GBR)",,,963,18-39,01:20:07,02:41:10,,2014
2669,217,46,"» Oleary, Amanda (GBR)",,,385,40-44,01:34:49,03:13:09,,2014
222,218,169,"» Gill, Simon (GBR)",,,685,18-39,01:20:47,02:41:10,,2014
2676,218,47,"» Henry, Amanda (GBR)",,,360,40-44,01:32:38,03:13:13,,2014
2678,219,24,"» Crosbie, Orla (IRL)",,,57300,45-49,01:36:27,03:13:14,,2014
223,219,11,"» Symons, David (GBR)",,,1127,45-49,01:20:12,02:41:14,,2014
2690,220,144,"» Gordon, Julie Marie (GBR)",,,163,18-39,01:27:45,03:13:20,,2014
224,220,1,"» Monteiro, Jose (POR)",,,32019,55-59,01:17:31,02:41:17,,2014
2695,221,48,"» Nelson, Joanne (GBR)",,,408,40-44,01:38:35,03:13:20,,2014
225,221,170,"» SURY, THIBAULT (FRA)",,,58293,18-39,01:21:24,02:41:18,,2014
226,222,171,"» Mountford, James (GBR)",,,1069,18-39,01:16:55,02:41:19,,2014
2705,222,145,"» Walsh, Sorrell (GBR)",,,30182,18-39,01:34:49,03:13:24,,2014
2710,223,146,"» Bugler, Eve (GBR)",,,240,18-39,01:34:10,03:13:26,,2014
227,223,12,"» Pattinson, Richard (GBR)",,,33096,45-49,01:18:04,02:41:19,,2014
228,224,35,"» Burton, Stuart (GBR)",,,884,40-44,01:15:25,02:41:21,,2014
2718,224,147,"» Harris, Catherine Elizabeth (GBR)",,,12187,18-39,01:31:04,03:13:30,,2014
2721,225,5,"» Bales, Rowena (GBR)",,,28761,50-54,01:33:27,03:13:30,,2014
229,225,172,"» Reynolds, Andrew (GBR)",,,862,18-39,01:21:21,02:41:23,,2014
230,226,173,"» Poynton, Mattthew (GBR)",,,1105,18-39,01:16:07,02:41:25,,2014
2730,226,148,"» Simmons, Georgiana (GBR)",,,28642,18-39,01:36:06,03:13:35,,2014
231,227,36,"» Leppäkorpi, Timo (FIN)",,,857,40-44,01:19:43,02:41:29,,2014
2737,227,6,"» Scully, Teresa (GBR)",,,488,50-54,01:30:31,03:13:36,,2014
2742,228,49,"» Cliff, Jill (GBR)",,,446,40-44,01:30:22,03:13:39,,2014
232,228,174,"» Gordon, James (IRL)",,,32892,18-39,01:16:31,02:41:34,,2014
233,229,175,"» Barrett, Simon (GBR)",,,34813,18-39,01:22:42,02:41:35,,2014
2743,229,50,"» Whelan, Dionne Terese (GBR)",,,27715,40-44,01:35:22,03:13:39,,2014
2754,230,51,"» Briggs, Ruth (GBR)",,,399,40-44,01:32:35,03:13:43,,2014
234,230,176,"» Kanyane, Patrick Garenakgosi (RSA)",,,27378,18-39,01:15:34,02:41:36,,2014
235,231,37,"» Brace, Simon (GBR)",,,737,40-44,01:19:22,02:41:37,,2014
2757,231,25,"» Glyn-Jones, Sharon (GBR)",,,32775,45-49,01:32:36,03:13:44,,2014
2767,232,52,"» Barbour, Sheila (GBR)",,,30234,40-44,01:36:34,03:13:47,,2014
236,232,177,"» McKenna, Jarlath (GBR)",,,32331,18-39,01:20:20,02:41:37,,2014
237,233,38,"» Aspinall, Nathan (GBR)",,,985,40-44,01:17:00,02:41:39,,2014
2772,233,149,"» Turner, Hannah (GBR)",,,266,18-39,01:32:12,03:13:48,,2014
2782,234,150,"» Dick, Eleanor (GBR)",,,29090,18-39,01:35:06,03:13:52,,2014
238,234,178,"» Nutt, Matthew (GBR)",,,745,18-39,01:16:04,02:41:41,,2014
239,235,179,"» Johnson, Leon (GBR)",,,31289,18-39,01:19:25,02:41:45,,2014
2793,235,151,"» Paterson, Catriona Alison Jane (GBR)",,,3556,18-39,01:33:11,03:13:56,,2014
2799,236,152,"» Pleasence, Caroline (GBR)",,,26812,18-39,01:37:09,03:13:58,,2014
2799,236,26,"» Wait, Debra (GBR)",,,450,45-49,01:32:18,03:13:58,,2014
240,236,180,"» Watt, Dan (GBR)",,,1056,18-39,01:13:51,02:41:47,,2014
241,237,181,"» Bell, Matthew (GBR)",,,1040,18-39,01:13:48,02:41:48,,2014
242,238,182,"» Besson, Nicolas (FRA)",,,32256,18-39,01:18:03,02:41:50,,2014
2802,238,153,"» Kremer, Claire (GBR)",,,492,18-39,01:34:36,03:13:59,,2014
243,239,183,"» Gould, Nicholas (GBR)",,,719,18-39,01:17:30,02:41:54,,2014
2803,239,27,"» Hazlitt, Karen (GBR)",,,409,45-49,01:35:26,03:14:00,,2014
2808,240,154,"» Kennard, Katherine Harriet (GBR)",,,27909,18-39,01:34:29,03:14:01,,2014
244,240,13,"» Marsh, Francis (GBR)",,,951,45-49,01:19:37,02:41:56,,2014
2811,241,155,"» Bosshard, Rachel (GBR)",,,28166,18-39,01:36:17,03:14:02,,2014
245,241,184,"» Walker, Mike (GBR)",,,1167,18-39,01:18:37,02:41:59,,2014
246,242,39,"» Carroll, Stuart (GBR)",,,667,40-44,01:19:32,02:41:59,,2014
2812,242,53,"» King, Sandy (GBR)",,,27803,40-44,01:37:12,03:14:03,,2014
247,243,185,"» Harper, Richard (GBR)",,,1077,18-39,01:13:29,02:41:59,,2014
2814,243,54,"» Ramsay, Emily (GBR)",,,28336,40-44,01:34:05,03:14:05,,2014
248,244,40,"» Fridleifsson, Fridleifur (ISL)",,,58832,40-44,01:16:40,02:42:03,,2014
2817,244,55,"» James, Helen (GBR)",,,392,40-44,01:33:09,03:14:06,,2014
249,245,186,"» Bottone, Michele (ITA)",,,32819,18-39,01:18:32,02:42:05,,2014
2818,245,156,"» Wise, Tina (GBR)",,,29620,18-39,01:34:26,03:14:07,,2014
2819,246,28,"» Ellis, Janine (GBR)",,,493,45-49,01:33:22,03:14:07,,2014
250,246,41,"» Rose, Stephen John (GBR)",,,22620,40-44,01:20:27,02:42:06,,2014
2821,247,157,"» Anthony, Helen (GBR)",,,29364,18-39,01:36:20,03:14:07,,2014
251,247,187,"» Harrison, Daniel (GBR)",,,30862,18-39,01:20:39,02:42:08,,2014
252,248,188,"» Gaunt, Martin (GBR)",,,1178,18-39,01:18:59,02:42:12,,2014
2832,248,29,"» Noble, Linda (GBR)",,,196,45-49,01:35:29,03:14:12,,2014
2838,249,158,"» Khosravi, Maryam (GBR)",,,28744,18-39,01:33:52,03:14:16,,2014
253,249,189,"» McKevitt, Joe (GBR)",,,32014,18-39,01:20:22,02:42:12,,2014
254,250,190,"» Darby, Alan (GBR)",,,891,18-39,01:18:29,02:42:13,,2014
2862,250,56,"» Sandland, Suzanne (GBR)",,,28814,40-44,01:35:07,03:14:26,,2014
255,251,191,"» Green, Martin (GBR)",,,1169,18-39,01:20:39,02:42:15,,2014
2869,251,57,"» Mathie, Dorothy (GBR)",,,29266,40-44,01:36:13,03:14:29,,2014
2874,252,30,"» Coleman, Victoria Danielle (CAN)",,,35607,45-49,01:35:31,03:14:31,,2014
256,252,192,"» Worringham, Mark (GBR)",,,1058,18-39,01:18:49,02:42:16,,2014
2884,253,58,"» Hay, Carolyn (GBR)",,,202,40-44,01:30:48,03:14:35,,2014
257,253,193,"» Hopkins, Stuart (GBR)",,,826,18-39,01:18:37,02:42:16,,2014
2886,254,159,"» Jenkins, Christina Louise (GBR)",,,11265,18-39,01:33:21,03:14:35,,2014
258,254,194,"» Tilford, Stephen (GBR)",,,32012,18-39,01:19:06,02:42:17,,2014
259,255,42,"» Coales, David (GBR)",,,866,40-44,01:18:14,02:42:18,,2014
2912,255,160,"» Owen, Alison (GBR)",,,29166,18-39,01:35:11,03:14:48,,2014
260,256,195,"» Chan, Ho Hin Henry (GBR)",,,32187,18-39,01:20:03,02:42:18,,2014
2917,256,161,"» Tomlin, Emily (GBR)",,,329,18-39,01:34:43,03:14:52,,2014
261,257,43,"» Renz, Justin (USA)",,,56317,40-44,01:19:21,02:42:20,,2014
2920,257,31,"» Worster, Janet (GBR)",,,336,45-49,01:31:30,03:14:52,,2014
2922,258,162,"» Devlin, Niamh (IRL)",,,447,18-39,01:23:42,03:14:53,,2014
262,258,196,"» Mckenna, Jonny (GBR)",,,649,18-39,01:18:45,02:42:20,,2014
2933,259,7,"» Ganose, Beverley (GBR)",,,354,50-54,01:32:43,03:14:57,,2014
263,259,197,"» Lemon, David (GBR)",,,1068,18-39,01:17:52,02:42:23,,2014
2949,260,32,"» Ansell, Linda (GBR)",,,424,45-49,01:34:45,03:15:09,,2014
264,260,14,"» Ibáñez López-Cordón, Jacobo (ESP)",,,1044,45-49,01:20:26,02:42:23,,2014
265,261,198,"» Gumbrill, Stephen (GBR)",,,1194,18-39,01:20:21,02:42:24,,2014
2953,261,163,"» Toms, Faye (GBR)",,,30077,18-39,01:37:59,03:15:10,,2014
266,262,199,"» Paterson, Barry (GBR)",,,682,18-39,01:19:49,02:42:24,,2014
2955,262,164,"» Taylor, Rebecca (GBR)",,,305,18-39,01:36:50,03:15:12,,2014
267,263,200,"» Griggs, Andrew (GBR)",,,1128,18-39,01:19:34,02:42:24,,2014
2956,263,33,"» West, Tracey (GBR)",,,28118,45-49,01:38:20,03:15:12,,2014
2958,264,165,"» Kerr, Amanda (GBR)",,,32434,18-39,01:30:20,03:15:15,,2014
268,264,201,"» O'Connell, Martin (GBR)",,,908,18-39,01:17:42,02:42:29,,2014
269,265,202,"» Elsby, Dominic (GBR)",,,662,18-39,01:17:08,02:42:32,,2014
2964,265,59,"» Gibson, Beverley (GBR)",,,530,40-44,01:36:51,03:15:16,,2014
2990,266,166,"» Baccino, Sara (ITA)",,,29625,18-39,01:34:40,03:15:30,,2014
270,266,44,"» Doyle, Kevin (GBR)",,,744,40-44,01:20:49,02:42:35,,2014
2998,267,167,"» Donges, Sophie (GBR)",,,34252,18-39,01:37:17,03:15:36,,2014
271,267,203,"» Hogan, Sean (GBR)",,,1115,18-39,01:21:13,02:42:35,,2014
272,268,204,"» Grieve, Richard (GBR)",,,32000,18-39,01:20:29,02:42:41,,2014
3002,268,168,"» Lamas, Noelia (GBR)",,,26630,18-39,01:32:38,03:15:37,,2014
273,269,205,"» Muir, Lee (GBR)",,,31197,18-39,01:19:55,02:42:41,,2014
3010,269,34,"» Ryan, Tamatha (GBR)",,,29759,45-49,01:37:31,03:15:41,,2014
274,270,206,"» Pike, John (GBR)",,,24026,18-39,01:17:24,02:42:43,,2014
3014,270,169,"» Wright, Natalie (GBR)",,,274,18-39,01:34:06,03:15:42,,2014
3019,271,60,"» Lopez, Elena Maria Ferreiro (ESP)",,,55755,40-44,01:34:50,03:15:46,,2014
275,271,207,"» Starkey, Oliver (GBR)",,,32615,18-39,01:19:22,02:42:48,,2014
276,272,15,"» Dooley, Mike (GBR)",,,31430,45-49,01:18:59,02:42:49,,2014
3023,272,170,"» Simpson, Sarah (GBR)",,,24363,18-39,01:35:13,03:15:50,,2014
3035,273,171,"» Nealon, Victoria (GBR)",,,30155,18-39,01:38:31,03:15:59,,2014
277,273,16,"» Sparks, Nick (GBR)",,,1039,45-49,01:23:27,02:42:52,,2014
278,274,17,"» McCarter, Dominic (GBR)",,,31216,45-49,01:20:00,02:42:54,,2014
3037,274,172,"» Stretch, Karen (GBR)",,,29052,18-39,01:38:56,03:16:00,,2014
279,275,208,"» Lighting, Peter (GBR)",,,32875,18-39,01:21:25,02:42:57,,2014
3040,275,35,"» Stevens, Clare (GBR)",,,29378,45-49,01:35:56,03:16:01,,2014
3041,276,173,"» Flanagan, Naomi (GBR)",,,29149,18-39,01:37:50,03:16:01,,2014
280,276,18,"» Stocks, Michael (GBR)",,,868,45-49,01:20:07,02:42:58,,2014
3046,277,61,"» Craine, Rosy (IMN)",,,23586,40-44,01:33:53,03:16:04,,2014
281,277,45,"» Gore, Andy (GBR)",,,677,40-44,01:19:43,02:42:58,,2014
282,278,19,"» Green, Graham (GBR)",,,669,45-49,01:22:12,02:43:05,,2014
3053,278,174,"» Gruber, Sarah (GBR)",,,29446,18-39,01:33:59,03:16:08,,2014
283,279,209,"» Gay, Dan (GBR)",,,948,18-39,01:17:21,02:43:08,,2014
3057,279,175,"» Thomas, Natalie Freda (GBR)",,,30023,18-39,01:35:47,03:16:09,,2014
284,280,210,"» Kerry, Edward (GBR)",,,1171,18-39,01:16:57,02:43:09,,2014
3068,280,176,"» McClary, Samantha (GBR)",,,32613,18-39,01:34:18,03:16:19,,2014
285,281,20,"» Pearce, Mike (GBR)",,,1078,45-49,01:21:20,02:43:09,,2014
3069,281,8,"» Roy, Diane (GBR)",,,29535,50-54,01:34:25,03:16:19,,2014
3080,282,177,"» Day, Claire (GBR)",,,355,18-39,01:30:49,03:16:26,,2014
286,282,211,"» van der Land, Cees (NED)",,,31978,18-39,01:22:09,02:43:10,,2014
287,283,212,"» Higgins, Daniel (GBR)",,,834,18-39,01:18:26,02:43:14,,2014
3098,283,36,"» Padrock, Doris Claudia (GER)",,,56495,45-49,01:34:43,03:16:34,,2014
3111,284,178,"» Mansell, Natasha (GBR)",,,464,18-39,01:36:59,03:16:43,,2014
288,284,213,"» Spicer, Neil (GBR)",,,31064,18-39,01:20:59,02:43:15,,2014
3113,285,179,"» Dudgeon, Sarah (GBR)",,,26813,18-39,01:36:20,03:16:44,,2014
289,285,214,"» Jones, David (GBR)",,,31979,18-39,01:20:53,02:43:15,,2014
290,286,46,"» Paton, Colin (GBR)",,,679,40-44,01:19:02,02:43:16,,2014
3118,286,180,"» Talbot, Helen Susan (GBR)",,,22655,18-39,01:34:10,03:16:46,,2014
3134,287,181,"» East, Elinor (GBR)",,,483,18-39,01:37:59,03:16:57,,2014
291,287,215,"» Tindell, Richard (GBR)",,,31225,18-39,01:19:39,02:43:17,,2014
292,288,216,"» Bodman, Daniel (GBR)",,,1166,18-39,01:21:14,02:43:19,,2014
3139,288,182,"» Gray, Tina (NZL)",,,480,18-39,01:34:46,03:16:59,,2014
293,289,217,"» Prince, Elliot (GBR)",,,24709,18-39,01:20:05,02:43:20,,2014
3148,289,183,"» Wilkins, Melanie (GBR)",,,29478,18-39,01:37:17,03:17:03,,2014
3163,290,62,"» Garcia Taboada, Gabriela (MEX)",,,55834,40-44,01:36:59,03:17:13,,2014
294,290,218,"» Riddell, Ryan (GBR)",,,821,18-39,01:15:46,02:43:24,,2014
