Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
951,34,1,"» Jacobsen, Ulla Binderup (DEN)",,,57907,45-49,01:27:45,02:55:55,,2014
964,35,29,"» Harris, Carly Ann (GBR)",,,19973,18-39,01:26:58,02:56:12,,2014
35,35,33,"» Stevens, Thomas (GBR)",,,721,18-39,01:14:36,02:28:54,,2014
36,36,34,"» Moore, Colm (IRL)",,,57418,18-39,01:14:22,02:29:22,,2014
969,36,30,"» Pelchat, Marianne (CAN)",,,26625,18-39,01:26:39,02:56:14,,2014
989,37,31,"» Jones, Katie (GBR)",,,258,18-39,01:28:49,02:56:33,,2014
37,37,3,"» Jones, Lee (GBR)",,,736,40-44,01:13:28,02:29:30,,2014
38,38,35,"» Turnbull, David (GBR)",,,1088,18-39,01:13:32,02:29:41,,2014
991,38,32,"» Webber, Wendy (GBR)",,,32921,18-39,01:26:57,02:56:34,,2014
998,39,33,"» Green, Tori (GBR)",,,532,18-39,01:28:06,02:56:37,,2014
39,39,36,"» Mqambeli, Siyabulela Siya (RSA)",,,27377,18-39,01:11:56,02:29:57,,2014
40,40,4,"» Dettmar, Christopher (GBR)",,,973,40-44,01:13:29,02:29:58,,2014
1025,40,2,"» Heslop, Maria (GBR)",,,458,45-49,01:26:22,02:56:57,,2014
41,41,5,"» Rouse, Adam (GBR)",,,703,40-44,01:14:24,02:30:20,,2014
1059,41,34,"» Waddell, Suni (GBR)",,,539,18-39,01:27:18,02:57:25,,2014
42,42,37,"» Breen, Graham (GBR)",,,730,18-39,01:15:34,02:31:20,,2014
1095,42,1,"» Johnson, Treena (GBR)",,,294,50-54,01:26:27,02:57:49,,2014
43,43,38,"» Douglas, Ben (GBR)",,,919,18-39,01:15:09,02:31:23,,2014
1117,43,35,"» Junnila, Elina (FIN)",,,56819,18-39,01:29:00,02:57:58,,2014
44,44,39,"» Boniface, Neil (GBR)",,,627,18-39,01:11:20,02:31:26,,2014
1122,44,36,"» Day, Claire (GBR)",,,436,18-39,01:27:56,02:58:01,,2014
1135,45,6,"» Hill, Sarah (GBR)",,,244,40-44,01:23:48,02:58:06,,2014
45,45,40,"» Saillard, Nicolas (GBR)",,,983,18-39,01:15:17,02:31:32,,2014
46,46,41,"» Polini, Josselin (FRA)",,,31273,18-39,01:14:21,02:31:35,,2014
1139,46,37,"» Ponder, Rosamund (GBR)",,,313,18-39,01:28:25,02:58:08,,2014
47,47,42,"» Kowenicki, Richard (GBR)",,,612,18-39,01:14:25,02:31:39,,2014
1148,47,7,"» Singer, Jo (GBR)",,,491,40-44,01:29:05,02:58:13,,2014
1156,48,38,"» Pemberton, Sarah (GBR)",,,462,18-39,01:27:22,02:58:21,,2014
48,48,6,"» RISA, SVEIN OVE (NOR)",,,57794,40-44,01:14:11,02:31:42,,2014
1157,49,39,"» Davis, Eleanor (GBR)",,,29892,18-39,01:28:39,02:58:21,,2014
49,49,43,"» Evangelidis, Dimosthenis (GRE)",,,976,18-39,01:12:17,02:31:54,,2014
1158,50,40,"» Charlton, Catherine Margaret (GBR)",,,151,18-39,01:29:19,02:58:22,,2014
50,50,44,"» Newton, Mark (GBR)",,,753,18-39,01:14:41,02:32:02,,2014
1182,51,41,"» Macgregor, Laura (GBR)",,,28206,18-39,01:28:25,02:58:30,,2014
51,51,45,"» O Shea, Alan (IRL)",,,1138,18-39,01:12:43,02:32:02,,2014
52,52,7,"» Griffiths, Paul (GBR)",,,635,40-44,01:14:35,02:32:04,,2014
